cmd_vx,foot_friction_mu,metric,n,n_total,n_survived,survival_rate,mean,sd,ci95_lo,ci95_hi
1.5,0.4,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
1.5,0.6,mean_vx,15,15,15,1.0,0.399773,0.014912,0.391515,0.408031
1.5,0.6,vel_track_err,15,15,15,1.0,1.100227,0.014912,1.091969,1.108485
1.5,0.6,lateral_drift,15,15,15,1.0,0.476393,0.012623,0.469403,0.483384
1.5,0.6,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
1.5,0.8,mean_vx,15,15,15,1.0,0.55708,0.011305,0.55082,0.56334
1.5,0.8,vel_track_err,15,15,15,1.0,0.94292,0.011305,0.93666,0.94918
1.5,0.8,lateral_drift,15,15,15,1.0,0.3483,0.017743,0.338474,0.358126
1.5,0.8,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
1.5,1.0,mean_vx,15,15,15,1.0,0.620027,0.008018,0.615587,0.624467
1.5,1.0,vel_track_err,15,15,15,1.0,0.879973,0.008018,0.875533,0.884413
1.5,1.0,lateral_drift,15,15,15,1.0,0.24754,0.018929,0.237057,0.258023
1.5,1.0,height_std,15,15,15,1.0,0.0063,0.0,0.0063,0.0063
1.5,1.5,mean_vx,15,15,15,1.0,0.664247,0.002337,0.662953,0.665541
1.5,1.5,vel_track_err,15,15,15,1.0,0.835753,0.002337,0.834459,0.837047
1.5,1.5,lateral_drift,15,15,15,1.0,0.08184,0.014837,0.073624,0.090056
1.5,1.5,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.5,2.0,mean_vx,15,15,15,1.0,0.65864,0.001946,0.657562,0.659718
1.5,2.0,vel_track_err,15,15,15,1.0,0.84136,0.001946,0.840282,0.842438
1.5,2.0,lateral_drift,15,15,15,1.0,0.05152,0.020645,0.040087,0.062953
1.5,2.0,height_std,15,15,15,1.0,0.0066,0.0,0.0066,0.0066
1.5,3.0,mean_vx,15,15,15,1.0,0.616753,0.007187,0.612773,0.620734
1.5,3.0,vel_track_err,15,15,15,1.0,0.883247,0.007187,0.879266,0.887227
1.5,3.0,lateral_drift,15,15,15,1.0,0.19098,0.021756,0.178932,0.203028
1.5,3.0,height_std,15,15,15,1.0,0.0067,0.0,0.0067,0.0067
