foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.2993,-0.099,0.2007,0.1023,0.2786,0.0056,9.4573
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,11,False,,0.2941,-0.1135,0.2059,0.1146,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,12,False,,0.2937,-0.1145,0.2063,0.1155,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,13,False,,0.296,-0.1086,0.204,0.1103,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,14,False,,0.2998,-0.0977,0.2002,0.1013,0.2786,0.0056,9.4572
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,0,False,,0.4138,0.0004,0.3362,0.0135,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,1,False,,0.412,0.0392,0.338,0.0392,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,2,False,,0.4121,0.0374,0.3379,0.0374,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,3,False,,0.4124,0.0341,0.3376,0.0341,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,4,False,,0.4121,0.0384,0.3379,0.0384,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,5,False,,0.411,0.0481,0.339,0.0481,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,6,False,,0.4105,0.0521,0.3395,0.0521,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,7,False,,0.4125,0.0328,0.3375,0.0328,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,8,False,,0.4135,0.0177,0.3365,0.0198,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,9,False,,0.4115,0.0443,0.3385,0.0443,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,10,False,,0.4125,0.0333,0.3375,0.0334,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,11,False,,0.4134,0.0184,0.3366,0.0202,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,12,False,,0.4133,0.0211,0.3367,0.0222,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,13,False,,0.4129,0.0285,0.3371,0.0287,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,14,False,,0.4128,0.03,0.3372,0.0301,0.2804,0.0059,12.4144
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.4229,0.2468,0.5771,0.2471,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.4,0.2824,0.6,0.2824,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.4026,0.2787,0.5974,0.2787,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.405,0.2751,0.595,0.2751,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.3983,0.2848,0.6017,0.2848,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.3941,0.2905,0.6059,0.2905,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,6,False,,0.3945,0.29,0.6055,0.29,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,7,False,,0.4051,0.275,0.5949,0.275,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,8,False,,0.4176,0.2556,0.5824,0.2557,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,9,False,,0.3993,0.2834,0.6007,0.2834,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,10,False,,0.4012,0.2808,0.5988,0.2808,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.4141,0.2613,0.5859,0.2613,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.4149,0.26,0.5851,0.26,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.4084,0.2701,0.5916,0.2701,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.4048,0.2755,0.5952,0.2755,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.354,0.4798,1.146,0.48,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.3197,0.5034,1.1803,0.5034,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.332,0.4954,1.168,0.4954,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.3343,0.4938,1.1657,0.4938,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.3128,0.5077,1.1872,0.5077,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,5,False,,0.3068,0.5113,1.1932,0.5113,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,6,False,,0.3139,0.507,1.1861,0.507,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,7,False,,0.3343,0.4938,1.1657,0.4938,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,8,False,,0.3565,0.478,1.1435,0.4782,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,9,False,,0.3145,0.5067,1.1855,0.5067,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,10,False,,0.3136,0.5072,1.1864,0.5072,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,11,False,,0.3517,0.4816,1.1483,0.4817,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,12,False,,0.346,0.4857,1.154,0.4857,0.2964,0.006,17.8887
