cmd_vx,friction_mu,metric,n,n_total,n_survived,survival_rate,mean,sd,ci95_lo,ci95_hi
1.5,1.5,mean_vx,15,15,15,1.0,0.55708,0.011305,0.55082,0.56334
1.5,1.5,vel_track_err,15,15,15,1.0,0.94292,0.011305,0.93666,0.94918
1.5,1.5,lateral_drift,15,15,15,1.0,0.3483,0.017743,0.338474,0.358126
1.5,1.5,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
1.5,2.0,mean_vx,15,15,15,1.0,0.55708,0.011305,0.55082,0.56334
1.5,2.0,vel_track_err,15,15,15,1.0,0.94292,0.011305,0.93666,0.94918
1.5,2.0,lateral_drift,15,15,15,1.0,0.3483,0.017743,0.338474,0.358126
1.5,2.0,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
1.5,3.0,mean_vx,15,15,15,1.0,0.55708,0.011305,0.55082,0.56334
1.5,3.0,vel_track_err,15,15,15,1.0,0.94292,0.011305,0.93666,0.94918
1.5,3.0,lateral_drift,15,15,15,1.0,0.3483,0.017743,0.338474,0.358126
1.5,3.0,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
